"Add to Cart","Adaugă în coș"
"Search entire store here...","Caută în tot magazinul..."
"Sign In","Autentificare"
"My Account","Contul meu"
"Customer Service","Serviciu Clienți"
"Our Company","Compania noastră"
"Shop","Magazin"
"Payment options","Opțiuni de plată"
"Returns and replacements","Returnări și înlocuiri"
"Warranty and repairs","Garanție și reparații"
"Get in touch","Contactează-ne"
"Newsletter","Newsletter"
"Subscribe","Abonează-te"
"Be the first to know.","Fii primul care află."
"Free returns","Retur gratuit"
"Free shipping and returns","Transport și retur gratuite"
"Shipped within a day","Expediat în 1 zi"
"My Cart","Coșul meu"
"Shopping Cart","Coș de cumpărături"
"Cart","Coș"
"Cart (%1 item)","Coș (%1 produs)"
"Cart (%1 items)","Coș (%1 produse)"
"Subtotal","Subtotal"
"Grand Total","Total Comanda"
"Tax","TVA 21%"
"Checkout","Finalizeaza comanda"
"Proceed to Checkout","Mergi la finalizare"
"View and Edit Cart","Editează coșul"
"Update Shopping Cart","Actualizează coșul"
"Apply Discount Code","Aplică cod de reducere"
"Enter discount code","Introdu codul de reducere"
"Apply Discount","Aplică reducerea"
"Order Summary","Rezumat comandă"
"Summary","Sumar"
"Contact Information","Informații de contact"
"Regular shopper? Sign in or Create an Account","Client existent? Autentifică-te sau creează un cont"
"Sign in","Autentificare"
"Create an Account","Creează un cont"
"Email address","Adresă de email"
"We'll send your order confirmation here.","Vom trimite confirmarea comenzii aici."
"Shipping Address","Adresă de livrare"
"Billing Address","Adresă de facturare"
"My billing and shipping address are the same","Adresa de facturare este aceeași cu adresa de livrare"
"First Name","Prenume"
"Last Name","Nume"
"Street Address","Adresă"
"Country","Țară"
"State/Province","Județ/Provincie"
"Please select a region, state or province.","Selectează județ/provincie"
"Zip/Postal Code","Cod poștal"
"City","Localitate"
"Phone Number","Telefon"
"Company","Companie"
"For delivery questions.","Pentru a fi informat vizavi de livrare"
"Shipping Methods","Metode de livrare"
"Payment Method","Metodă de plată"
"Payment Methods","Metode de plată"
"Check / Money order","Cec / Ordin de plată"
"Order Comment (optional)","Comentariu comandă (opțional)"
"Place Order","Trimite comanda"
"In stock","In stoc"
"SKU","Cod Produs"
"Sku","Cod Produs"
"Nickname*","Pseudonim*"
"Summary*","Titlu*"
"Review*","Recenzie*"
"You're reviewing:","Scrii o recenzie:"
"Submit Review","Trimite recenzia"
"Enter your email address","Introdu adresa ta de email"
"Be the first to know.","Fii primul care află."
"Subscribe","Abonează-te"
"Check / Money order","Transfer Bancar"
"Please select a region, state or province.","Selecteaza Judetul"
"Fixed","Cost Fix Transport"
"Compare Products","Compara Produse"
"Customer Login","Autentificare Clienti"
"Login","Autentificare"
"Password","Parola"
"Forgot Your Password?","Ai uitat Parola?"
"New Customers","Clienti Noi"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creeaza un cont si vei primi mai multe beneficii: checkout mai rapid, stochezi adrese de livrare, ai tracking la comenzi si multe altele"
"If you have an account, sign in with your email address.","Daca ai deja un cont te poti loga cu adresa ta de mail."
"Create New Customer Account","Creaza un Nou Cont de Client"
"Sign Up for Newsletter","Doresc inscriere la Newsletter"
"Allow remote shopping assistance","Permite asistenta de cumparaturi de la distanta"
"Sign-in Information","Date de Logare"
"Password Strength: No Password","Putere Pardola: Nici o Parola"
"Please enter at least 8 characters.","Introdu minim 8 Caractere
"Confirm Password","Confirma Parola"
"Personal Information","Informatii Cont"
"The password must include at least 2 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Parola trebuie sa includa minim 2 sau mai multe din: Majuscule (A-Z), numar sau simbol"
"This allows merchants to "see what you see" and take actions on your behalf in order to provide better assistance.","Acest lucru le permite comercianților să „vadă ceea ce vedeți” și să ia măsuri în numele dumneavoastră pentru a vă oferi o asistență mai bună."
"Regular shopper?","Ai deja un cont la noi pe site?"
"or","sau"
"Order Comment (optional)","Lasa-ne o nota pe comanda daca consideri oportun (optional)"
"You must login or register to add items to your wishlist.","Trebuie sa creezi un cont pentru a adauga articole in lista de Favorite."
"Continue Shopping","Continua cumparaturile"
"This products was added to your cart","Acest produs a fost adaugat in cosul tau"
"You added","Ai adaugat"
"to your","in"
"shopping cart","cosul tau de cumparaturi"
"Your cart is empty","Cosul tau este gol"
"Looks like you haven't made your choice yet.","Se pare ca inca nu te-am convins dar timpul nu e pierdut :)"
"The product was added to your cart.","Produsul a fost adăugat în coș."
"Cart Subtotal (%1 item)","Subtotal coș (%1 produs)"
"Cart Subtotal","Subtotal coș"
"Continue Shopping","Continuă cumpărăturile"
"Proceed to Checkout","Mergi la finalizare"
"View and Edit Cart","Vezi și editează coșul"
"Go to Checkout","Mergi la finalizare"
"Close","Închide"
"The product was added to your cart.","Produsul ales de tine a fost adaugat in cos."
"Regular Price","Pret normal"
"View Product","Vezi Produsul"

